Title,URL,Product Price,Stars
The Shadow Hero (The Shadow Hero),https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,£33.14,One
The Secret (The Secret #1),https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,£27.37,Four
The Regional Office Is Under Attack!,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,£51.36,Five
The Psychopath Test: A Journey Through the Madness Industry,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,£36.00,Two
The Project,https://books.toscrape.com/catalogue/the-project_856/index.html,£10.65,One
The Power of Now: A Guide to Spiritual Enlightenment,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,£43.54,Two
The Omnivore's Dilemma: A Natural History of Four Meals,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,£38.21,Two
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,£37.34,Five
The Murder of Roger Ackroyd (Hercule Poirot #4),https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,£44.10,Four
The Mistake (Off-Campus #2),https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,£43.29,Three
The Matchmaker's Playbook (Wingmen Inc. #1),https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,£55.85,One
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,£37.60,Two
The Long Shadow of Small Ghosts: Murder and Memory in an American City,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,£10.97,One
The Kite Runner,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,£41.82,Four
The House by the Lake,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,£36.95,One
The Glittering Court (The Glittering Court #1),https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,£44.28,One
The Girl on the Train,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,£55.02,Two
The Genius of Birds,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,£17.24,One
The Emerald Mystery,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,£23.15,Two
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,£41.25,One
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,£51.77,Three
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,£53.74,One
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,£50.10,One
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,£47.82,Four
Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,£54.23,Five
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,£22.65,One
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£33.34,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£17.93,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£22.60,Four
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,£52.15,One
"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,£13.99,Two
Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,£20.66,Four
Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,£17.46,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£52.29,Five
Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,£35.02,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£57.25,Three
Olio,https://books.toscrape.com/catalogue/olio_984/index.html,£23.88,One
Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£37.59,One
Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,£51.33,Two
It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,£45.17,Two
Seven Days in the Art World,https://books.toscrape.com/catalogue/seven-days-in-the-art-world_220/index.html,£52.33,Two
Seven Brief Lessons on Physics,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html,£30.60,Four
Scarlet (The Lunar Chronicles #2),https://books.toscrape.com/catalogue/scarlet-the-lunar-chronicles-2_218/index.html,£14.57,Four
Sarah's Key,https://books.toscrape.com/catalogue/sarahs-key_217/index.html,£46.29,One
"Saga, Volume 3 (Saga (Collected Editions) #3)",https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html,£21.57,Five
Running with Scissors,https://books.toscrape.com/catalogue/running-with-scissors_215/index.html,£12.91,Four
Rogue Lawyer (Rogue Lawyer #1),https://books.toscrape.com/catalogue/rogue-lawyer-rogue-lawyer-1_214/index.html,£50.11,Three
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",https://books.toscrape.com/catalogue/rise-of-the-rocket-girls-the-women-who-propelled-us-from-missiles-to-the-moon-to-mars_213/index.html,£41.67,Four
Rework,https://books.toscrape.com/catalogue/rework_212/index.html,£44.88,Two
Reservations for Two,https://books.toscrape.com/catalogue/reservations-for-two_211/index.html,£11.10,Three
Red: The True Story of Red Riding Hood,https://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/index.html,£28.54,Three
Ready Player One,https://books.toscrape.com/catalogue/ready-player-one_209/index.html,£19.07,Four
Quiet: The Power of Introverts in a World That Can't Stop Talking,https://books.toscrape.com/catalogue/quiet-the-power-of-introverts-in-a-world-that-cant-stop-talking_208/index.html,£43.55,One
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html,£43.63,Three
Persepolis: The Story of a Childhood (Persepolis #1-2),https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html,£39.13,One
Packing for Mars: The Curious Science of Life in the Void,https://books.toscrape.com/catalogue/packing-for-mars-the-curious-science-of-life-in-the-void_205/index.html,£56.68,Two
Outliers: The Story of Success,https://books.toscrape.com/catalogue/outliers-the-story-of-success_204/index.html,£14.16,One
Original Fake,https://books.toscrape.com/catalogue/original-fake_203/index.html,£31.45,Three
Orange Is the New Black,https://books.toscrape.com/catalogue/orange-is-the-new-black_202/index.html,£24.61,Two
One for the Money (Stephanie Plum #1),https://books.toscrape.com/catalogue/one-for-the-money-stephanie-plum-1_201/index.html,£32.87,Two
The Bhagavad Gita,https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html,£57.49,Three
The Bette Davis Club,https://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html,£30.66,Three
The Art of Not Breathing,https://books.toscrape.com/catalogue/the-art-of-not-breathing_58/index.html,£40.83,Four
Taking Shots (Assassins #1),https://books.toscrape.com/catalogue/taking-shots-assassins-1_57/index.html,£18.88,Two
Starlark,https://books.toscrape.com/catalogue/starlark_56/index.html,£25.83,Three
"Skip Beat!, Vol. 01 (Skip Beat! #1)",https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html,£42.12,Three
Sister Sable (The Mad Queen #1),https://books.toscrape.com/catalogue/sister-sable-the-mad-queen-1_54/index.html,£13.33,Three
Shatter Me (Shatter Me #1),https://books.toscrape.com/catalogue/shatter-me-shatter-me-1_53/index.html,£42.40,One
Shameless,https://books.toscrape.com/catalogue/shameless_52/index.html,£58.35,Three
Shadow Rites (Jane Yellowrock #10),https://books.toscrape.com/catalogue/shadow-rites-jane-yellowrock-10_51/index.html,£21.72,Four
Settling the Score (The Summer Games #1),https://books.toscrape.com/catalogue/settling-the-score-the-summer-games-1_50/index.html,£44.91,Two
Sense and Sensibility,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,£37.46,One
"Saga, Volume 1 (Saga (Collected Editions) #1)",https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html,£28.48,One
"Rhythm, Chord & Malykhin",https://books.toscrape.com/catalogue/rhythm-chord-malykhin_47/index.html,£28.34,Two
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,£46.96,Five
Paradise Lost (Paradise #1),https://books.toscrape.com/catalogue/paradise-lost-paradise-1_45/index.html,£24.96,One
"Paper Girls, Vol. 1 (Paper Girls #1-5)",https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html,£21.71,Four
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,£29.87,Three
Origins (Alphas 0.5),https://books.toscrape.com/catalogue/origins-alphas-05_42/index.html,£28.99,One
One Second (Seven #7),https://books.toscrape.com/catalogue/one-second-seven-7_41/index.html,£52.94,Two
Isla and the Happily Ever After (Anna and the French Kiss #3),https://books.toscrape.com/catalogue/isla-and-the-happily-ever-after-anna-and-the-french-kiss-3_380/index.html,£48.13,Five
If I Stay (If I Stay #1),https://books.toscrape.com/catalogue/if-i-stay-if-i-stay-1_379/index.html,£38.13,Five
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),https://books.toscrape.com/catalogue/i-know-why-the-caged-bird-sings-maya-angelous-autobiography-1_378/index.html,£36.55,Two
Harry Potter and the Deathly Hallows (Harry Potter #7),https://books.toscrape.com/catalogue/harry-potter-and-the-deathly-hallows-harry-potter-7_377/index.html,£23.32,One
"Fruits Basket, Vol. 5 (Fruits Basket #5)",https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html,£16.33,One
Foundation (Foundation (Publication Order) #1),https://books.toscrape.com/catalogue/foundation-foundation-publication-order-1_375/index.html,£32.42,One
